filename,fold,target,category,esc10,src_file,take,file_path
1-115545-A-48.wav,1,48,fireworks,False,115545,A,dataset\ESC-50-master\audio\fireworks\1-115545-A-48.wav
1-115545-B-48.wav,1,48,fireworks,False,115545,B,dataset\ESC-50-master\audio\fireworks\1-115545-B-48.wav
1-115545-C-48.wav,1,48,fireworks,False,115545,C,dataset\ESC-50-master\audio\fireworks\1-115545-C-48.wav
1-115546-A-48.wav,1,48,fireworks,False,115546,A,dataset\ESC-50-master\audio\fireworks\1-115546-A-48.wav
1-116765-A-41.wav,1,41,chainsaw,True,116765,A,dataset\ESC-50-master\audio\chainsaw\1-116765-A-41.wav
1-11687-A-47.wav,1,47,airplane,False,11687,A,dataset\ESC-50-master\audio\airplane\1-11687-A-47.wav
1-119125-A-45.wav,1,45,train,False,119125,A,dataset\ESC-50-master\audio\train\1-119125-A-45.wav
1-13571-A-46.wav,1,46,church_bells,False,13571,A,dataset\ESC-50-master\audio\church_bells\1-13571-A-46.wav
1-13572-A-46.wav,1,46,church_bells,False,13572,A,dataset\ESC-50-master\audio\church_bells\1-13572-A-46.wav
1-160563-A-48.wav,1,48,fireworks,False,160563,A,dataset\ESC-50-master\audio\fireworks\1-160563-A-48.wav
1-160563-B-48.wav,1,48,fireworks,False,160563,B,dataset\ESC-50-master\audio\fireworks\1-160563-B-48.wav
1-17124-A-43.wav,1,43,car_horn,False,17124,A,dataset\ESC-50-master\audio\car_horn\1-17124-A-43.wav
1-172649-A-40.wav,1,40,helicopter,True,172649,A,dataset\ESC-50-master\audio\helicopter\1-172649-A-40.wav
1-172649-B-40.wav,1,40,helicopter,True,172649,B,dataset\ESC-50-master\audio\helicopter\1-172649-B-40.wav
1-172649-C-40.wav,1,40,helicopter,True,172649,C,dataset\ESC-50-master\audio\helicopter\1-172649-C-40.wav
1-172649-D-40.wav,1,40,helicopter,True,172649,D,dataset\ESC-50-master\audio\helicopter\1-172649-D-40.wav
1-172649-E-40.wav,1,40,helicopter,True,172649,E,dataset\ESC-50-master\audio\helicopter\1-172649-E-40.wav
1-172649-F-40.wav,1,40,helicopter,True,172649,F,dataset\ESC-50-master\audio\helicopter\1-172649-F-40.wav
1-181071-A-40.wav,1,40,helicopter,True,181071,A,dataset\ESC-50-master\audio\helicopter\1-181071-A-40.wav
1-181071-B-40.wav,1,40,helicopter,True,181071,B,dataset\ESC-50-master\audio\helicopter\1-181071-B-40.wav
1-18527-A-44.wav,1,44,engine,False,18527,A,dataset\ESC-50-master\audio\engine\1-18527-A-44.wav
1-18527-B-44.wav,1,44,engine,False,18527,B,dataset\ESC-50-master\audio\engine\1-18527-B-44.wav
1-18810-A-49.wav,1,49,hand_saw,False,18810,A,dataset\ESC-50-master\audio\hand_saw\1-18810-A-49.wav
1-19026-A-43.wav,1,43,car_horn,False,19026,A,dataset\ESC-50-master\audio\car_horn\1-19026-A-43.wav
1-19898-A-41.wav,1,41,chainsaw,True,19898,A,dataset\ESC-50-master\audio\chainsaw\1-19898-A-41.wav
1-19898-B-41.wav,1,41,chainsaw,True,19898,B,dataset\ESC-50-master\audio\chainsaw\1-19898-B-41.wav
1-19898-C-41.wav,1,41,chainsaw,True,19898,C,dataset\ESC-50-master\audio\chainsaw\1-19898-C-41.wav
1-21421-A-46.wav,1,46,church_bells,False,21421,A,dataset\ESC-50-master\audio\church_bells\1-21421-A-46.wav
1-22804-A-46.wav,1,46,church_bells,False,22804,A,dataset\ESC-50-master\audio\church_bells\1-22804-A-46.wav
1-22882-A-44.wav,1,44,engine,False,22882,A,dataset\ESC-50-master\audio\engine\1-22882-A-44.wav
1-23706-A-49.wav,1,49,hand_saw,False,23706,A,dataset\ESC-50-master\audio\hand_saw\1-23706-A-49.wav
1-24074-A-43.wav,1,43,car_horn,False,24074,A,dataset\ESC-50-master\audio\car_horn\1-24074-A-43.wav
1-24076-A-43.wav,1,43,car_horn,False,24076,A,dataset\ESC-50-master\audio\car_horn\1-24076-A-43.wav
